,previousYield,organicCarbon,pH,phosphorus,cu,fe,potassium,targetYield,boron,zn,sulphur,electricalConductivity,nitrogen,cropNameCommon_chilli (irrigated),cropNameCommon_chilli (rainfed),cropNameCommon_foxtail millet,cropNameCommon_green gram,cropNameCommon_groundnut  (rainfed),cropNameCommon_sunflower (irrigated),cropNameCommon_sunflower (rainfed),previousCropName_chilli (rainfed),previousCropName_coriander,previousCropName_cotton,previousCropName_foxtail millet,previousCropName_green gram,previousCropName_groundnut (irrigated),previousCropName_maize,previousCropName_sorghum (irrigated),previousCropName_sorghum/jowar (irrigated),previousCropName_sunflower (irrigated),previousCropName_sunflower (rainfed),previousCropName_tomato
41,0,0.65,5.5,16.9,0.31,2.62,181.0,0,0.33,0.68,16.6,0.4,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0,0.55,8.36,36.4,0.29,4.88,214.0,0,0.22,0.6900000000000001,20.1,0.46,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0,0.61,5.4,46.3,0.35000000000000003,3.34,283.0,0,0.33,0.30000000000000004,18.8,0.26,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0,0.73,7.9,54.0,0.35000000000000003,4.45,208.0,0,0.22,0.46,13.7,0.41000000000000003,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0,0.62,7.32,31.4,0.28,2.33,266.0,0,0.22,0.44,18.0,0.17,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0,0.6780623174294059,7.0140155945419105,35.645160662122684,0.25659201557935735,5.950671859785784,204.31877312560857,0,0.25058422590068163,0.4592015579357352,11.662005842259006,0.3625900681596885,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0,0.8200000000000001,6.0,20.0,0.28,1.6099999999999999,307.0,0,0.33,0.54,14.3,0.24,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0,0.81,5.1,61.0,0.35000000000000003,9.21,72.0,0,0.22,0.23,6.9,0.46,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0,0.5,7.5,56.2,0.37,7.59,283.0,0,0.22,0.5700000000000001,8.4,0.09,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0,0.56,6.53,44.6,0.28,1.79,62.0,0,0.17,0.36,5.1,0.46,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0,0.8,7.62,27.0,0.34,6.82,189.0,0,0.33,0.61,18.4,0.17,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0,0.51,6.8,17.7,0.18,2.7,286.0,0,0.28,0.64,4.0,0.43,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0,0.48,6.66,45.2,0.16,7.3,286.0,0,0.28,0.31,2.2,0.32,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0,0.88,5.8,38.0,0.2,3.29,111.0,0,0.17,0.22,7.8,0.17,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0,0.58,5.8,17.9,0.33,10.36,153.0,0,0.33,0.28,8.3,0.37,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
